date,open,high,low,close,volume
2021-03-08,7.03,8.44,7.03,8.44,614353
2021-03-09,9.28,9.28,9.28,9.28,300180
2021-03-10,10.21,10.21,10.21,10.21,178432
2021-03-11,11.23,11.23,11.23,11.23,199436
2021-03-12,12.35,12.35,12.35,12.35,1102307
2021-03-15,13.59,13.59,13.59,13.59,10308771
2021-03-16,13.99,14.95,12.23,14.95,42744826
2021-03-17,14.8,16.45,14.14,16.45,21763262
2021-03-18,15.5,18.1,15.2,18.1,42293916
2021-03-19,18.1,19.91,17.2,19.91,20176899
2021-03-22,21.9,21.9,21.9,21.9,2748044
2021-03-23,23.99,24.09,23.4,24.09,9867550
2021-03-24,25.99,26.5,24.1,26.5,24693267
2021-03-25,28.69,29.15,25.15,29.15,44697223
2021-03-26,28.86,32.07,28.39,32.07,30770501
2021-03-29,33.99,35.28,33.1,35.28,21711611
2021-03-30,37,38.81,35.28,38.81,26714618
2021-03-31,39.66,42.69,39.66,42.69,14116790
2021-04-01,45.8,46.96,44.7,46.96,24582098
2021-04-02,50.68,51.66,49.31,51.66,13620495
2021-04-06,56.78,56.83,54.25,56.83,7055614
2021-04-14,52.02,59.68,51.15,51.15,18214220
2021-04-15,47.08,55.66,46.04,52.99,47450704
2021-04-16,47.69,48.53,47.69,47.69,8386369
2021-04-19,44.3,48.1,44.21,45.91,36052232
2021-04-20,45.7,50.5,45.5,50.5,46483151
2021-04-21,45.5,47.79,45.45,46.08,35261978
2021-04-22,45.66,49.21,43.88,47.55,32412994
2021-04-23,48,48.5,43.01,43.8,28172150
2021-04-26,42.6,45.22,42.22,44.75,20583346
2021-04-27,44.2,44.57,41.5,42.55,21330251
2021-04-28,42.65,45.96,41.8,43.76,23748987
2021-04-29,43.01,47.79,42.08,42.72,30855257
2021-04-30,41.1,46.99,39.35,45,40310990
2021-05-06,43.01,46.91,42.71,46.44,31718304
